start_date,end_date,ip_address,duration_in_seconds,recorded_date,response_id,location_latitude,location_longitude,q_recaptcha_score,intro_info,degree,degree_type,english_level_degree_1,gender,gender_other,language_1,age_1,ada_familiarity_1,q1_prop_1,q2_prop_1,q3_prop_1,q4_prop_1,q5_prop_1,q6_prop_1,q1_anx_1,q2_anx_1,q3_anx_1,q4_anx_1,q5_anx_1,q6_anx_1,q7_anx_1,q8_anx_1,q1_p_ai_1,q2_p_ai_1,q3_p_ai_1,q4_ado_ai_1,q5_ado_ai_1,q6_ado_ai_1,q1_llms,q1_if_other,q3_usage,q1_if_no_none_1,q2_if_none,country
2024-02-23,2024-02-23,84.248.0.20,210,2024-02-23,R_5k0KdvkEtFDgw8X,65.0121,25.4753,0.899999976,"Yes, I consent to participate in this study",Bacherlor od Business Administration in International Business,Both online and in-person,94.93,Male,NA,9.99,24,3.25,7.17,7.52,7,8.3,8.87,2.87,0,1.94,0.16,0.22,0,0.2,0.67,1.2,6.01,10,9.84,9.19,10,6.01,ChatGPT,NA,For brainstorming and typo correcting,9,NA,finland
2024-02-23,2024-02-23,104.28.31.16,239,2024-02-23,R_2JyDHlwlRpnhuvg,60.1797,24.9344,0.800000012,"Yes, I consent to participate in this study",BBA - International Business,Both online and in-person,100,Male,NA,8.7,39,0,5,7,7.1,5,5,5.45,0,0,0,0,0,0,0,0,5,10,9.32,10,10,5,ChatGPT,NA,ideation and feedback mainly,7.06,NA,finland
2024-02-24,2024-02-24,37.33.176.16,979,2024-02-24,R_21jCmHLmxdBr7Kp,60.1797,24.9344,1,"Yes, I consent to participate in this study",Bachelor of mechanical engineering,Both online and in-person,13.56,Male,NA,9.21,35,1.05,4.34,1.34,1.49,2.42,1.3,1.66,0,0,0,0,0,0,0,0,10,10,10,10,6.66,10,ChatGPT,NA,"If everything else fails, try chatgpt!",1.51,NA,finland
2024-02-25,2024-02-25,87.100.236.154,899,2024-02-25,R_7k0IGz5oB72geL0,65.0545,25.4875,1,"Yes, I consent to participate in this study",degree programme in information technology,Both online and in-person,80.14,Female,NA,8.01,23,6.86,7.28,6.9,2.45,2.43,7.26,6.22,1.41,1.52,2,1.71,1.41,1.52,1.39,2.62,9.3,7.1,5.88,6.64,3.32,7.19,ChatGPT,NA,Sometimes I need to find something (like a piece of code) for my studies but I can't find it from browser so in ChatGPT I can explain my problem and then correct the answer if needed. It is good also if you need list of words so instead to think by yourself over an hour you can get words you need in few minutes.,7.87,NA,finland
2024-02-26,2024-02-26,84.248.13.247,249,2024-02-26,R_4qyB4b9i28aOV31,65.0013,25.4515,0.800000012,"Yes, I consent to participate in this study",Bachelor of Civil Engineering,Both online and in-person,9.83,Male,NA,8.03,21,6.95,3.59,4.03,3.49,3.49,5.29,2,0.98,1.02,1.05,1.02,0.98,0.88,1.08,0.95,9.02,8.07,7.46,7.56,8,6.54,None,NA,NA,NA,I havenâ€™t used any of them much,finland
2024-02-26,2024-02-26,82.203.166.45,491,2024-02-26,R_5WIo7lycYyxIZBM,60.1797,24.9344,1,"Yes, I consent to participate in this study",Bachelor of Construction Management,Both online and in-person,20.88,Female,NA,6.66,25,3.12,2.03,2.82,2.88,2.06,1.29,1.02,3.05,3.41,4.53,1.25,0.76,1.55,2.16,6.01,4.7,6.02,6.01,4.74,7.47,3.51,ChatGPT,NA,Helps to find questions to answers.,6.06,NA,finland
2024-02-26,2024-02-26,87.100.226.23,320,2024-02-26,R_2IuZ9ArqSyYobE2,65.0121,25.4753,0.899999976,"Yes, I consent to participate in this study",lol,In-person,4.93,Male,NA,7.36,33,6.97,3.49,3.75,5.58,3.33,3.96,4.97,4.99,4.88,5.36,7.04,5,7,5.3,6.55,1.99,2.3,4.75,0.52,2.8,1.1,Other,Gemini google,no,5.1,NA,finland
2024-02-26,2024-02-26,85.76.69.68,786,2024-02-26,R_8txtCwvaMzqngu2,60.1797,24.9344,1,"Yes, I consent to participate in this study",Bachelor of construction architecture,In-person,14.33,Female,NA,9.02,28,7.55,4.16,1.53,2.67,3.05,3.07,2.1,0.65,0.71,0.73,0.44,1.59,0.35,0.66,1.24,2.56,8.09,7.07,7.44,7.6,7.95,ChatGPT,NA,I have been asking AI to organize the structure of my essays. I have also asked AI to give me example question that I should answer according to the given assignment so that I can answer the questions myself..,6.01,NA,finland
2024-02-26,2024-02-26,85.76.12.158,843,2024-02-26,R_1DiYd7ROHnhlmoh,60.1797,24.9344,0.699999988,"Yes, I consent to participate in this study",Bachelor of Construction Architecture,In-person,40,Female,NA,5.11,24,6.5,7.71,8.21,7.39,8.29,7.89,7.61,2.18,2.64,2.11,2.11,2.39,2.07,3.5,3.75,3.39,8.36,8.86,7.57,8.54,6.82,ChatGPT,NA,-,7.21,NA,finland
2024-02-26,2024-02-26,84.250.13.76,335,2024-02-26,R_3iwEwpBlIYMN1by,65.013,25.4957,0.800000012,"Yes, I consent to participate in this study",Bachelor of Business Administration,Both online and in-person,90.43,Male,NA,9.8,26,7.01,4.52,5.45,4.3,4.46,4.57,4.7,0,0,0,0,0,0,4,4.06,10,10,10,0,10,4,None,NA,NA,NA,Haven't looked into using AI applications.,finland
2024-02-27,2024-02-27,37.33.236.91,435,2024-02-27,R_10ocvYY1HNyZNju,60.1717,24.9349,1,"Yes, I consent to participate in this study","Bachelor of healthcare, nursing",Both online and in-person,1.29,Female,NA,8,39,8,5.4,5,3.35,5.34,5.01,5,6.55,2.34,2.1,1.72,3.66,1.59,3.62,4,7.82,7.33,7.57,7.99,8.38,2.14,ChatGPT,NA,"I asked chatGTP to describe certain words to me in swedish, for a swedish language assignment",8.31,NA,finland
2024-02-27,2024-02-27,82.128.217.155,993,2024-02-27,R_6R8f3GUiBqEYGdA,60.1797,24.9344,1,"Yes, I consent to participate in this study",Nursing,Both online and in-person,11.03,Female,NA,5.05,32,10,2.92,7.22,2.36,6.4,8.02,8.15,4.58,2.48,3.81,4.58,4.87,4.86,4.69,4.58,1.64,7.81,7.36,8.33,8.57,7.71,ChatGPT,NA,.,5.17,NA,finland
2024-02-28,2024-02-28,87.95.115.104,575,2024-02-28,R_8IQbx32GXckelaJ,60.1797,24.9344,1,"Yes, I consent to participate in this study",Vocational teacher qualification,Both online and in-person,100,Male,NA,8,41,2.91,6.07,2.91,5.51,5.55,2.97,3.94,5.96,6.1,6.06,6.01,5.65,5.65,6.03,6.01,3.38,7.07,7.04,6.22,5.42,2.84,ChatGPT,NA,"I consult the AI in planning lectures and tasks performed in class. It gives an overview, which I then modify according to my needs.",7.12,NA,finland
2024-02-28,2024-02-28,193.210.202.221,37,2024-02-28,R_2qwCETphOLIDatD,61.4966,23.7831,0.899999976,"No, I do not consent to participate in this study",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,finland
2024-02-28,2024-02-28,87.94.111.30,776,2024-02-28,R_1jYSEIXtIKcKdsi,60.1797,24.9344,1,"Yes, I consent to participate in this study",Degree Programme in Nursing and Healthcare,Both online and in-person,1.3,Male,NA,8.17,46,2.9,0.61,0.64,2.07,0.43,0.9,0.54,4,2.23,2.91,4.36,4.41,9.3,6.86,6.45,0.16,3.49,1.97,0.96,1.06,2.1,ChatGPT,NA,By asking LLM to produce lines for a play concerning simulated nursing situation.,3.55,NA,finland
2024-03-04,2024-03-04,84.250.73.93,160,2024-03-04,R_40mU46wwTkITW9z,62.2406,25.7467,0.899999976,"No, I do not consent to participate in this study",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,finland
2024-03-04,2024-03-04,84.250.73.93,535,2024-03-04,R_4NR4vDRWW06IFXV,62.2406,25.7467,0.899999976,"Yes, I consent to participate in this study",Bachelor of Engineering in Information and Communication Technology,Both online and in-person,100,Male,NA,8.49,33,7.55,3.61,5.16,5,4.42,4.22,0.94,6,6.2,4.9,2.26,1.2,6.28,3.71,8.1,6.19,7.38,9.04,8.29,7.62,3,ChatGPT,NA,Specially to provide feedback on my texts in foreign languages. As a code autocompletition it has helped me to reduce the time spend on boiler plate code.,6.67,NA,finland
2024-03-07,2024-03-07,78.27.93.202,464,2024-03-07,R_4H2hK4VAJ3V3ebX,65.0013,25.4515,1,"Yes, I consent to participate in this study",Bachelor of Engineering,Both online and in-person,100,Female,NA,6,26,6,8,7.99,7,7,7,6,5,5,5,5,5,5,5,5,10,10,10,10,10,8,ChatGPT,NA,I often use it when I'm stuck for ideas or to look up fixes to my code if I'm taking too long to think.,7.99,NA,finland
2024-03-11,2024-03-11,193.167.100.11,1758,2024-03-11,R_2fv2NpgKS76zeCx,65.0013,25.4515,1,"Yes, I consent to participate in this study",Bachelor in Nursing,Both online and in-person,29.13,Female,NA,9.09,42,5,4.93,4.64,1.55,1.99,4.23,2.91,6.49,2.49,5,5.74,5.94,2.58,5,5.72,8.64,5,5,5,3.87,1.01,ChatGPT,NA,I have asked it to make some case scenarios for learning materials. Also to pinpoint some key contents of certain topics.,5.96,NA,finland
2024-03-13,2024-03-13,84.248.29.161,585,2024-03-13,R_2T5RQCsvB24yUsF,65.0121,25.4753,0.899999976,"Yes, I consent to participate in this study",Bachelor of Music in Music Education,Both online and in-person,38.12,Male,NA,7.61,24,5.58,2.23,4.9,0.16,0.87,0.42,1.33,3.59,3.7,3.19,4.06,4.14,3.96,2.54,5.74,8.74,6.04,7.64,8.7,8.48,4.04,ChatGPT,NA,"Getting some inspiration for CVs, job applications etc.",3.8,NA,finland
2024-03-14,2024-03-14,87.100.242.50,225,2024-03-14,R_4f3DKRO7woa9dqF,65.0121,25.4753,0.899999976,"Yes, I consent to participate in this study",Physiotherapist,Both online and in-person,66.77,Female,NA,5.67,21,2.13,5.89,5.39,6.61,6.21,2.88,4.17,3.04,8.06,1.16,3.42,3.95,0.56,7.37,0.38,7.65,6.27,6.65,6.27,7.27,7.68,ChatGPT,NA,Askin the questions,2.73,NA,finland
2024-03-14,2024-03-14,81.175.153.113,319,2024-03-14,R_19ovhvnPMbFZ9n3,65.0135,25.5447,0.899999976,"Yes, I consent to participate in this study",Bachelor of nursing,Both online and in-person,100,Male,NA,6.43,43,4.89,7.79,6.57,6.11,6.46,6.71,5.11,7.86,10,6.61,9.11,6.5,6.96,8.07,7.18,7.43,8.86,7.57,7.46,7.54,7.25,ChatGPT,NA,Sometimes i use AI for the idea,8.36,NA,finland
2024-03-14,2024-03-14,193.167.100.12,397,2024-03-14,R_3a66qfC9q0dZayR,65.0013,25.4515,1,"Yes, I consent to participate in this study",masters in social healthcare,Online,20.29,Female,NA,8.17,35,8.9,7.7,7.49,8.32,6.71,6.99,7.03,2.07,0.41,1.1,1.26,1.45,1.17,2.29,4.9,8.33,8.42,8.13,8.7,8.23,7.97,ChatGPT,NA,"innovation, language tool, basic information",8.61,NA,finland
2024-03-14,2024-03-14,87.100.199.0,1154,2024-03-14,R_29T66q2rJJnQtl7,65.0121,25.4753,1,"Yes, I consent to participate in this study",Bachelor of Biomedical Laboratory Science,In-person,5.07,Male,NA,4.99,32,5.99,0.2,0,1,0,0.2,0,0,0,0,0,0,0,0,1.01,0,0.2,0.2,0,0,2.49,None,NA,NA,NA,none,finland
2024-03-14,2024-03-14,78.27.84.160,598,2024-03-14,R_7ff8xZbDyfcWOYx,65.0121,25.4753,1,"Yes, I consent to participate in this study",Degree programme in emergency health care,Both online and in-person,2.66,Female,NA,6.04,32,0.94,2.41,2.56,3.07,2.83,2.75,2.89,2.86,0.43,2.79,2.99,2.18,9.24,5.23,5,2.8,6.62,6.63,6.88,6.4,5,Other,"DeepAi, DeepL","Translation, inspiration for written excercises",1.87,NA,finland
2024-03-14,2024-03-14,84.248.0.4,514,2024-03-14,R_3g1nUeTUYqhHKEp,65.0013,25.4515,1,"Yes, I consent to participate in this study",Bachelor of science in Occupational therapy,Both online and in-person,73.62,Female,NA,4.25,28,7.68,4.88,5,5.12,4.8,4.36,4.83,5.43,3.71,3.62,4.07,4.49,4.83,1.55,7.32,3.96,6.17,6.28,6.07,6.22,4.14,ChatGPT,NA,Tutkimusartikkelien kÃ¤Ã¤ntÃ¤misessÃ¤ suomeksi sekÃ¤ kyseisten tekstien tulosten ymmÃ¤rtÃ¤misessÃ¤.,6.17,NA,finland
2024-03-14,2024-03-14,109.240.98.216,572,2024-03-14,R_4MMOC4ftXM7U4fl,61.4976,23.8427,0.899999976,"Yes, I consent to participate in this study",Bachelor of social services,Both online and in-person,0,Female,NA,4.09,25,2.98,4.35,5.17,5.35,4.31,5.25,5.25,1.59,1.86,2.64,1.97,1.54,2.16,2.63,1.49,5.48,6.37,4.98,6.77,5.31,5.17,ChatGPT,NA,I get inspiration from AI,7.31,NA,finland
2024-03-14,2024-03-14,85.156.194.44,610,2024-03-14,R_7CKp8SFk84T0rIT,63.8237,23.14,1,"Yes, I consent to participate in this study",Kliininen asiantuntija,Both online and in-person,28.55,Female,NA,7.1,33,2.43,2.83,1.8,2.99,1.64,1.81,2.58,6.57,5.06,3.8,4.91,7.1,0,5.03,3.01,8.01,6.64,6,5,5,5.01,ChatGPT,NA,I have used ChatGPT to translate the text and tell the main things,3.33,NA,finland
2024-03-14,2024-03-14,104.28.31.16,420,2024-03-14,R_2NLj0a9j2I6rQN1,60.1797,24.9344,0.800000012,"Yes, I consent to participate in this study",Bachelor of Social Services,In-person,9.72,Female,NA,7.05,21,5.27,5.99,6.21,4.01,6.05,5.99,6.43,4.14,4.11,4.51,3.2,4.04,1.63,5.2,4.14,9.06,8.06,6.18,9.12,10,6.08,ChatGPT,NA,I like to use it for inspiration in essays and other assignments,7.02,NA,finland
2024-03-14,2024-03-14,185.18.77.155,508,2024-03-14,R_2PCnnAOM4qEXsQh,60.1797,24.9344,0.800000012,"Yes, I consent to participate in this study","Bachelor of Health Care, Physiotherapy",Both online and in-person,10,Female,NA,8.51,32,2.72,4.13,4.04,3.01,2.99,5,3.94,5,4,4.04,2.03,4,2.01,2,6,6.03,3.96,3.99,4,4,1.91,None,NA,NA,NA,No idea,finland
2024-03-14,2024-03-14,213.216.211.71,692,2024-03-14,R_2MW2yO8av5Py8h3,60.1797,24.9344,1,"Yes, I consent to participate in this study",BachelorÂ´s Degree in Health Care (Nursing),Both online and in-person,10,Female,NA,6.51,50,2.99,4.83,3.96,5.04,3.94,4.1,3.25,6.84,1.17,1.16,5.1,1.32,1,5.01,7.38,6.99,3.72,6.87,6.75,6.88,2.45,ChatGPT,NA,just started to learn,4.9,NA,finland
2024-03-14,2024-03-14,85.76.40.16,411,2024-03-14,R_1mC9UIucHzg2Cap,60.1797,24.9344,1,"Yes, I consent to participate in this study",Bachelor of Social Services,Both online and in-person,29.63,Female,NA,2.99,31,2.67,2.5,2.88,3.52,1.8,3.97,3.43,3.8,3.2,3.14,3.19,3.73,2.72,2.79,5.84,2.74,4.04,1.19,3.68,3.21,1.31,None,NA,NA,NA,Not interested,finland
2024-03-14,2024-03-14,37.33.213.18,367,2024-03-14,R_8CNSKJ5UCvH8MnA,60.1797,24.9344,1,"Yes, I consent to participate in this study","Bachelor of Social Services and Health Care, Biomedical Laboratory Science",Both online and in-person,30.87,Female,NA,6.01,24,3,1,1,0,0,0,0,6,5,4.97,4.1,5,5.07,5,6.13,0,4.01,4.01,3,3.06,1.03,None,NA,NA,NA,Not interested,finland
2024-03-14,2024-03-14,84.231.207.133,559,2024-03-14,R_2kMKJeLSorfVc8G,60.1719,24.9347,1,"Yes, I consent to participate in this study",Bachelor in biomedical laboratory science,Both online and in-person,20.14,Female,NA,8,27,7.51,6.94,6.68,6.13,6.09,6.17,1.86,2.03,1.9,2.12,0.9,2,2.04,2.87,6.03,7.03,6.17,7.2,3.99,7,4.06,None,NA,NA,NA,Translator,finland
2024-03-14,2024-03-14,87.100.218.88,417,2024-03-14,R_40pLjYx5qfDflax,65.0226,25.4783,0.899999976,"Yes, I consent to participate in this study",Master of healthcare,Online,11.88,Female,NA,7.17,31,8.04,0,2.29,5.58,1.64,3.83,2.1,0,0,0,1.96,0,0,2.07,2.35,3.14,6.45,7.52,8.49,6.04,3.99,ChatGPT,NA,"In text generation by asking for tips, synonyms and I have also given it translation tasks. And asked it to explain terms that are unfamiliar to me. It's easy and fast during lectures and I don't need to interrupt lecturer.",6.01,NA,finland
2024-03-14,2024-03-14,87.100.226.190,63,2024-03-14,R_2OQbXqYVxNEM4DW,65.0121,25.4753,0.800000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,finland
2024-03-14,2024-03-14,37.33.232.27,571,2024-03-14,R_8MAPDb8CNN84ybu,60.1797,24.9344,1,"Yes, I consent to participate in this study","Bachelor of healt care, biomedical laboratory science",Both online and in-person,5.43,Female,NA,5.48,36,3.56,4.94,4.38,1.71,4.46,4.41,6.13,9.28,9.25,8.06,4.23,8.02,10,9.37,4.4,9.03,6.97,8.04,6.61,6.27,9.15,None,NA,NA,NA,None,finland
2024-03-15,2024-03-15,193.56.197.148,834,2024-03-15,R_336XtDLxeUZvMFg,65.0135,25.5447,0.800000012,"Yes, I consent to participate in this study","BA, Radiographer",In-person,10,Female,NA,9,41,2,0,0,0,0,0,0,0,3,0.99,2,3,1,10,2,1,5,6.51,0,0,0,None,NA,NA,NA,None.,finland
2024-03-15,2024-03-15,87.100.197.106,390,2024-03-15,R_1ZW8CyhBOfZ9blw,65.0121,25.4753,0.899999976,"Yes, I consent to participate in this study",Bachelor of Social Services,In-person,0,Female,NA,9,22,6.54,10,5.25,3.99,4.01,3.83,7.3,2.25,2.01,2,2.33,2.04,2.04,2.04,4.01,5.07,6,5.33,5.3,7,5.29,ChatGPT,NA,I've used chatgpt to help me write essays by asking it to divide the topic into paragraphs.,7.51,NA,finland
2024-03-16,2024-03-17,62.78.226.7,747,2024-03-17,R_7zbQJngNbwKVETT,65.0412,25.4225,1,"Yes, I consent to participate in this study",Bachelor of Social Studies,Both online and in-person,1.01,Female,NA,9,47,2,8,8,6.51,8,8,2,0,0,0,0,0,0,0,1,8,8,8,10,10,10,ChatGPT,NA,Asking clarifications on certain terms or asking for examples/ideas when composing customer cases.,8,NA,finland
2024-03-18,2024-03-18,88.195.69.8,403,2024-03-18,R_3QMXCM90U5lBSIH,65.0845,25.4043,0.899999976,"Yes, I consent to participate in this study",Bachelor of Social Services,Both online and in-person,10.63,Female,NA,7.61,25,6.05,5.38,2.72,8.9,3.19,2.72,3.29,0,0.9,0,0.2,0.53,0,0,4.88,9.87,5.55,4.02,8.94,4.52,5.02,ChatGPT,NA,-,3.06,NA,finland
2024-03-18,2024-03-18,78.27.89.19,271,2024-03-18,R_1Gj9RUmUtngyYSJ,65.0013,25.4515,0.899999976,"Yes, I consent to participate in this study",Bachrlor of engineering in energy technology,Both online and in-person,4.49,Female,NA,8.78,22,2.29,4.97,6.07,3.01,3.23,3.91,4.16,4.19,2.91,2.36,3.7,2.78,1.68,2.03,2.12,2.99,5,6.83,6.68,8.28,7.17,ChatGPT,NA,I tend to ask it to either simplify my writing or give me inspiration for my essays etc.,6.77,NA,finland
2024-03-18,2024-03-18,87.95.9.222,1331,2024-03-18,R_3Hvq5IeSPkLlA5L,60.1797,24.9344,1,"Yes, I consent to participate in this study",mechanical engineering,In-person,1.82,Male,NA,1.97,29,3.36,10,9.13,7.08,5.02,8.13,8.01,0,0,0,0,0,0,1.2,0,8.13,10,10,7.17,7.97,7,ChatGPT,NA,calculation,10,NA,finland
2024-03-19,2024-03-19,172.225.70.133,272,2024-03-19,R_2FxVitypP9lT5Ml,60.1797,24.9344,0.600000024,"Yes, I consent to participate in this study",Midwife,Both online and in-person,20,Female,NA,6,25,3.29,3.49,4.98,3.32,2.71,4.07,3.08,3.29,2.17,2.95,1.86,2.14,2.98,1.8,2.41,7.12,3.29,2.34,5.02,5.8,6.27,None,NA,NA,NA,None,finland
2024-03-19,2024-03-19,193.210.193.113,650,2024-03-19,R_5rtbmXls9nGcbrH,61.4886,23.7618,0.699999988,"Yes, I consent to participate in this study",Bachelor of science in radiography,Both online and in-person,10.07,Female,NA,4.26,52,3.84,4.24,3.4,4.45,2.69,5.47,3.21,5.48,5.3,5.28,5.45,4.4,5.22,2.36,5.21,2.38,6.09,4.86,6.2,5.7,8.11,None,NA,NA,NA,-,finland
2024-03-19,2024-03-19,85.76.165.157,408,2024-03-19,R_7DqWvs0XG9l3JtM,60.1797,24.9344,1,"Yes, I consent to participate in this study","Sosiaalialan tutkinto-ohjelma, Sosionomi (AMK)",In-person,0,Female,NA,6.02,22,7.56,4,6.05,0,0,0,0,0,0,2.1,0,0,0,0,0,10,7.6,6,1.27,1,1.1,None,NA,NA,NA,En kÃ¤ytÃ¤ tekoÃ¤lyÃ¤,finland
2024-03-19,2024-03-19,85.76.130.250,819,2024-03-19,R_2WYiFEm3qMJMyHi,60.1797,24.9344,0.899999976,"Yes, I consent to participate in this study",Bachelor of Health Care,In-person,1.03,Male,NA,6.9,37,7.54,3.57,6.02,3.89,5.64,3.06,5.74,2.02,2.02,2.39,2.13,2.31,2.16,2.09,2.52,4.02,8.91,7.22,6.84,6.94,8.49,ChatGPT,NA,I ask about topics in general and use ai as a conversation partner. Also i use ai to ask me exam questions about topics to test my knowledge.,6.17,NA,finland
2024-03-19,2024-03-19,88.115.134.213,434,2024-03-19,R_24CuX4xvV868L7P,62.2996,25.695,0.800000012,"Yes, I consent to participate in this study",Master degree of emergency medicine,Online,64.44,Male,NA,7.92,56,8.63,4.58,3.73,6.3,3.1,5.85,3.27,3.94,2.11,3.63,4.65,1.97,2.18,4.26,2.18,2.39,6.76,7.75,6.8,6.76,3.98,ChatGPT,NA,-,1.2,NA,finland
2024-03-19,2024-03-19,37.33.152.146,1457,2024-03-19,R_2whnEBpeRiCHyJb,60.1797,24.9344,0.800000012,"Yes, I consent to participate in this study","Bachelor of Health Care, Nursing",Both online and in-person,5.04,Female,NA,6.48,38,1.01,4.05,3.03,2.02,3.02,4.04,1.09,4.31,5.38,5.59,4.5,5.55,5.96,8.99,5.67,9,5.54,5.5,2.5,0.64,2.94,None,NA,NA,NA,I'm not interested of using AI.,finland
2024-03-19,2024-03-19,85.131.21.28,322,2024-03-19,R_2EgYUYPP1FdagkA,65.0121,25.4753,0.600000024,"Yes, I consent to participate in this study",Optometrist,In-person,72.1,Female,NA,8.84,30,2.01,3.82,3.23,2.63,2.63,3.61,3.39,3.1,4.01,4.04,4.01,3.76,4.08,5.2,4.2,1.94,1.82,3.73,0.88,1.25,2.07,None,NA,NA,NA,None,finland
